"","beta","HR (95% CI)","z","wald.test","P-value"
"CDCA2|157313","0.2087","1.232(1.0731-1.4146)","2.9603","8.76","0.0031"
"C14orf33|100129075","0.2989","1.3483(1.1063-1.6434)","2.9604","8.76","0.0031"
"TUBB8|347688","-0.2813","0.7548(0.6263-0.9096)","-2.9554","8.73","0.0031"
"CDK1|983","0.2233","1.2503(1.0775-1.4507)","2.9434","8.66","0.0032"
"URB1|9875","0.3879","1.4739(1.1387-1.9076)","2.9472","8.69","0.0032"
"LOC145837|145837","-0.0961","0.9083(0.8521-0.9683)","-2.9481","8.69","0.0032"
"ITGB4|3691","0.1865","1.205(1.0644-1.3641)","2.9466","8.68","0.0032"
"LIPK|643414","0.1831","1.2009(1.0634-1.3562)","2.9514","8.71","0.0032"
"ODZ3|55714","0.1588","1.1721(1.0546-1.3027)","2.9469","8.68","0.0032"
"C1orf187|374946","0.2436","1.2759(1.085-1.5004)","2.9461","8.68","0.0032"
"CDKN3|1033","0.1965","1.2171(1.0677-1.3873)","2.9411","8.65","0.0033"
"KIF4B|285643","0.2416","1.2733(1.0839-1.4957)","2.9409","8.65","0.0033"
"DDIT4|54541","0.2205","1.2467(1.0761-1.4444)","2.936","8.62","0.0033"
"ZWILCH|55055","0.3692","1.4466(1.1296-1.8526)","2.9258","8.56","0.0034"
"CLEC18A|348174","-0.1894","0.8274(0.7288-0.9394)","-2.9255","8.56","0.0034"
"ARHGAP11B|89839","0.2136","1.2381(1.0726-1.4293)","2.9164","8.51","0.0035"
"CLCN1|1180","0.1895","1.2086(1.0643-1.3724)","2.9212","8.53","0.0035"
"FBXO16|157574","-0.2426","0.7846(0.6663-0.9239)","-2.9088","8.46","0.0036"
"UMODL1|89766","-0.1085","0.8972(0.8341-0.9652)","-2.9122","8.48","0.0036"
"C4orf26|152816","0.1633","1.1774(1.0549-1.3141)","2.9135","8.49","0.0036"
"HABP2|3026","-0.0906","0.9134(0.8593-0.9709)","-2.9089","8.46","0.0036"
"COL5A1|1289","0.1883","1.2072(1.0632-1.3708)","2.9048","8.44","0.0037"
"KRT8|3856","0.3126","1.367(1.1071-1.688)","2.9053","8.44","0.0037"
"SLAMF9|89886","0.1506","1.1625(1.05-1.287)","2.9007","8.41","0.0037"
"CENPF|1063","0.1994","1.2207(1.0667-1.3969)","2.8983","8.4","0.0038"
"ABHD11|83451","-0.2888","0.7491(0.6162-0.9107)","-2.8984","8.4","0.0038"
"FAM83D|81610","0.2108","1.2347(1.0706-1.424)","2.8968","8.39","0.0038"
"NCAPD2|9918","0.3195","1.3764(1.1085-1.709)","2.8927","8.37","0.0038"
"GRAMD1B|57476","0.1306","1.1395(1.0429-1.2451)","2.8904","8.35","0.0038"
"IDO2|169355","-0.222","0.8009(0.6892-0.9307)","-2.8968","8.39","0.0038"
"PAQR9|344838","0.1994","1.2207(1.066-1.3979)","2.8835","8.31","0.0039"
"PPAT|5471","0.3185","1.3751(1.1071-1.708)","2.8795","8.29","0.004"
"C21orf125|284836","0.1183","1.1255(1.0385-1.2199)","2.8789","8.29","0.004"
"SMOX|54498","0.2097","1.2333(1.0693-1.4225)","2.881","8.3","0.004"
"PIP5KL1|138429","-0.1928","0.8246(0.723-0.9406)","-2.8721","8.25","0.0041"
"LOC100130557|100130557","-0.2173","0.8047(0.6937-0.9335)","-2.8677","8.22","0.0041"
"NDC80|10403","0.1813","1.1988(1.0587-1.3573)","2.8603","8.18","0.0042"
"TFAP2A|7020","0.1346","1.1441(1.0433-1.2546)","2.8607","8.18","0.0042"
"C21orf45|54069","0.3445","1.4112(1.115-1.7862)","2.8654","8.21","0.0042"
"HJURP|55355","0.1873","1.206(1.0607-1.3713)","2.8588","8.17","0.0043"
"KIF23|9493","0.1954","1.2158(1.0633-1.3901)","2.8579","8.17","0.0043"
"POSTN|10631","0.1828","1.2006(1.0591-1.361)","2.8566","8.16","0.0043"
"FAM72B|653820","0.1891","1.2081(1.0608-1.3758)","2.85","8.12","0.0044"
"DTL|51514","0.2528","1.2876(1.0822-1.5321)","2.8508","8.13","0.0044"
"NCAPG|64151","0.1919","1.2115(1.0612-1.3832)","2.8384","8.06","0.0045"
"CCT5|22948","0.3944","1.4834(1.1299-1.9475)","2.8397","8.06","0.0045"
"CENPK|64105","0.2118","1.2359(1.0674-1.4311)","2.8319","8.02","0.0046"
"COL5A2|1290","0.1831","1.2009(1.0582-1.3629)","2.8362","8.04","0.0046"
"TMEM48|55706","0.3259","1.3852(1.1057-1.7354)","2.8336","8.03","0.0046"
"NOXA1|10811","-0.1823","0.8334(0.7346-0.9455)","-2.831","8.01","0.0046"
"ERO1LB|56605","-0.1774","0.8374(0.7406-0.9469)","-2.8305","8.01","0.0046"
"GPR172B|55065","-0.1631","0.8495(0.759-0.9509)","-2.8357","8.04","0.0046"
"SPOCK1|6695","0.1123","1.1188(1.035-1.2095)","2.8242","7.98","0.0047"
"KRT18|3875","0.3016","1.352(1.097-1.6663)","2.8279","8","0.0047"
"PSG3|5671","0.0984","1.1034(1.0306-1.1813)","2.8241","7.98","0.0047"
"UBE2S|27338","0.2369","1.2673(1.0749-1.4941)","2.8192","7.95","0.0048"
"PRKDC|5591","0.3039","1.3552(1.0964-1.675)","2.8109","7.9","0.0049"
"ADA|100","0.221","1.2474(1.0693-1.4551)","2.8125","7.91","0.0049"
"HPN|3249","-0.1579","0.8539(0.7649-0.9533)","-2.8118","7.91","0.0049"
"CALHM3|119395","0.17","1.1853(1.053-1.3343)","2.8146","7.92","0.0049"
"TNNC2|7125","-0.1115","0.8945(0.8275-0.9669)","-2.8091","7.89","0.005"
"MCM4|4173","0.2432","1.2753(1.0759-1.5117)","2.803","7.86","0.0051"
"RALGPS2|55103","0.2714","1.3118(1.0851-1.5859)","2.8034","7.86","0.0051"
"TGM5|9333","0.15","1.1618(1.0461-1.2903)","2.8022","7.85","0.0051"
"SULT1C2|6819","-0.1187","0.888(0.8173-0.9649)","-2.8037","7.86","0.0051"
"TMED7-TICAM2|100302736","0.1567","1.1696(1.0478-1.3055)","2.793","7.8","0.0052"
"NRAP|4892","-0.2561","0.774(0.6467-0.9264)","-2.794","7.81","0.0052"
"SLC6A15|55117","0.0975","1.1024(1.0293-1.1807)","2.786","7.76","0.0053"
"KIF20A|10112","0.2248","1.252(1.0686-1.4669)","2.7816","7.74","0.0054"
"FAM40B|57464","0.1394","1.1496(1.0421-1.2682)","2.7827","7.74","0.0054"
"CCNB2|9133","0.2001","1.2215(1.0607-1.4068)","2.7777","7.72","0.0055"
"SPC25|57405","0.2009","1.2225(1.0608-1.4089)","2.7753","7.7","0.0055"
"MAD2L1|4085","0.2046","1.227(1.062-1.4178)","2.7756","7.7","0.0055"
"NCAPG2|54892","0.2782","1.3208(1.0851-1.6078)","2.774","7.69","0.0055"
"NCCRP1|342897","0.1017","1.1071(1.0302-1.1897)","2.7686","7.67","0.0056"
"SGOL1|151648","0.1865","1.205(1.0558-1.3754)","2.7641","7.64","0.0057"
"PBK|55872","0.1742","1.1903(1.0519-1.3468)","2.7634","7.64","0.0057"
"HTR1D|3352","0.1169","1.124(1.0344-1.2213)","2.7581","7.61","0.0058"
"CDCP1|64866","0.2118","1.236(1.0634-1.4366)","2.7605","7.62","0.0058"
"BPIL1|80341","-0.0743","0.9284(0.8807-0.9787)","-2.7605","7.62","0.0058"
"CKS1B|1163","0.2428","1.2748(1.0725-1.5153)","2.7534","7.58","0.0059"
"MRPL15|29088","0.3242","1.3829(1.0977-1.7423)","2.7508","7.57","0.0059"
"SKA3|221150","0.202","1.2238(1.0596-1.4135)","2.7476","7.55","0.006"
"SERPINB3|6317","0.0654","1.0676(1.019-1.1185)","2.7495","7.56","0.006"
"CDC25C|995","0.1814","1.1988(1.0531-1.3648)","2.7416","7.52","0.0061"
