"","beta","HR (95% CI)","z","wald.test","P-value"
"SRCIN1|80725","-0.1628","0.8497(0.7547-0.9568)","-2.6901","7.24","0.0071"
"SDK1|221935","-0.1282","0.8797(0.8011-0.9659)","-2.6856","7.21","0.0072"
"RACGAP1|29127","0.2469","1.2801(1.0688-1.5331)","2.6833","7.2","0.0073"
"UCN2|90226","0.1226","1.1304(1.0336-1.2364)","2.6821","7.19","0.0073"
"C12orf36|283422","0.0868","1.0906(1.0236-1.1621)","2.6809","7.19","0.0073"
"COL9A2|1298","-0.1428","0.8669(0.7809-0.9624)","-2.6795","7.18","0.0074"
"ITGA2|3673","0.1403","1.1506(1.0384-1.2749)","2.6789","7.18","0.0074"
"FBXL21|26223","0.2057","1.2284(1.0567-1.4279)","2.6782","7.17","0.0074"
"HEATR1|55127","0.4481","1.5653(1.1272-2.1737)","2.6746","7.15","0.0075"
"KLK8|11202","0.0723","1.075(1.0195-1.1335)","2.6752","7.16","0.0075"
"CCT3|7203","0.4316","1.5397(1.1214-2.114)","2.6683","7.12","0.0076"
"SDHAP3|728609","-0.1963","0.8217(0.7114-0.9492)","-2.6687","7.12","0.0076"
"BUB1B|701","0.1832","1.2011(1.0496-1.3744)","2.664","7.1","0.0077"
"KRT81|3887","0.0836","1.0872(1.0224-1.1562)","2.6649","7.1","0.0077"
"ANXA10|11199","0.0725","1.0752(1.0194-1.1341)","2.6645","7.1","0.0077"
"F2RL1|2150","0.189","1.2081(1.0512-1.3883)","2.6645","7.1","0.0077"
"AMBP|259","-0.0858","0.9177(0.8616-0.9776)","-2.664","7.1","0.0077"
"TTLL2|83887","-0.1771","0.8377(0.7354-0.9543)","-2.6633","7.09","0.0077"
"MTBP|27085","0.2368","1.2672(1.0642-1.5089)","2.6587","7.07","0.0078"
"ATP8B3|148229","0.1334","1.1428(1.0357-1.2608)","2.66","7.08","0.0078"
"ALX1|8092","0.1188","1.1261(1.0318-1.2291)","2.6602","7.08","0.0078"
"LMNB1|4001","0.2495","1.2834(1.0675-1.5431)","2.6544","7.05","0.0079"
"IGF2BP3|10643","0.1004","1.1056(1.0266-1.1906)","2.6557","7.05","0.0079"
"LOC100128191|100128191","0.2417","1.2734(1.0648-1.5229)","2.648","7.01","0.0081"
"PTHLH|5744","0.121","1.1286(1.0319-1.2344)","2.6476","7.01","0.0081"
"IGLON5|402665","0.1689","1.184(1.0449-1.3418)","2.6475","7.01","0.0081"
"KCNV1|27012","0.1148","1.1217(1.0303-1.2211)","2.6488","7.02","0.0081"
"SERPINB4|6318","0.0771","1.0802(1.0203-1.1436)","2.6486","7.02","0.0081"
"BLM|641","0.2212","1.2476(1.059-1.4699)","2.645","7","0.0082"
"INHA|3623","0.0769","1.0799(1.0201-1.1432)","2.6452","7","0.0082"
"POPDC3|64208","0.085","1.0887(1.0222-1.1596)","2.6433","6.99","0.0082"
"GRIN2B|2904","0.2318","1.2608(1.0617-1.4973)","2.6423","6.98","0.0082"
"LHX5|64211","0.157","1.17(1.0412-1.3147)","2.638","6.96","0.0083"
"ATP4B|496","-0.2295","0.795(0.6705-0.9425)","-2.6416","6.98","0.0083"
"SOX15|6665","0.1425","1.1531(1.0372-1.282)","2.6366","6.95","0.0084"
"CAPN13|92291","-0.0879","0.9158(0.8578-0.9777)","-2.6348","6.94","0.0084"
"BEND6|221336","0.1511","1.1631(1.0392-1.3016)","2.63","6.92","0.0085"
"UGT2B28|54490","0.1901","1.2093(1.0496-1.3934)","2.6291","6.91","0.0086"
"UGT2B10|7365","0.2605","1.2976(1.0684-1.576)","2.6273","6.9","0.0086"
"SKA1|220134","0.1693","1.1845(1.0437-1.3444)","2.6215","6.87","0.0088"
"SPANXE|171489","0.211","1.2349(1.0546-1.4461)","2.6198","6.86","0.0088"
"GTSE1|51512","0.1752","1.1915(1.0448-1.3588)","2.6137","6.83","0.009"
"NT5E|4907","0.1432","1.154(1.0364-1.285)","2.612","6.82","0.009"
"ANGPTL4|51129","0.1303","1.1392(1.0329-1.2564)","2.6066","6.79","0.0091"
"MND1|84057","0.2029","1.225(1.0515-1.4271)","2.6049","6.79","0.0092"
"KCNA7|3743","0.1857","1.2041(1.047-1.3848)","2.6031","6.78","0.0092"
"ELOVL2|54898","0.1555","1.1683(1.0393-1.3134)","2.6048","6.78","0.0092"
"CD70|970","0.1354","1.145(1.0338-1.2681)","2.5978","6.75","0.0094"
"C3orf72|401089","0.1385","1.1486(1.0345-1.2753)","2.5943","6.73","0.0095"
"HOXA13|3209","0.1159","1.1229(1.0287-1.2257)","2.5931","6.72","0.0095"
"CACNG7|59284","0.3122","1.3665(1.0794-1.73)","2.5946","6.73","0.0095"
"ERCC6L|54821","0.2033","1.2254(1.0507-1.4292)","2.5906","6.71","0.0096"
"NSUN5P1|155400","-0.1802","0.8351(0.7286-0.9572)","-2.5891","6.7","0.0096"
"IGFL3|388555","0.2295","1.258(1.0575-1.4965)","2.5914","6.72","0.0096"
"TK1|7083","0.2133","1.2378(1.053-1.4551)","2.5853","6.68","0.0097"
"SERPINB7|8710","0.1002","1.1054(1.0245-1.1927)","2.5846","6.68","0.0097"
"KIF12|113220","-0.1144","0.8919(0.8178-0.9728)","-2.5814","6.66","0.0098"
"NUSAP1|51203","0.2084","1.2318(1.0509-1.4437)","2.5733","6.62","0.0101"
"TEKT5|146279","-0.1701","0.8436(0.741-0.9604)","-2.5712","6.61","0.0101"
"SNRPA1|6627","0.3674","1.4439(1.0908-1.9114)","2.5676","6.59","0.0102"
"LRRC16B|90668","-0.1359","0.8729(0.7869-0.9683)","-2.5692","6.6","0.0102"
"SLC5A6|8884","0.3656","1.4414(1.0903-1.9056)","2.5672","6.59","0.0103"
"FGA|2243","0.0559","1.0575(1.0133-1.1036)","2.5644","6.58","0.0103"
"FUT2|2524","-0.1588","0.8532(0.7556-0.9633)","-2.5629","6.57","0.0104"
"CAPN12|147968","-0.1879","0.8287(0.7178-0.9568)","-2.5616","6.56","0.0104"
"MSX2|4488","0.141","1.1514(1.0337-1.2825)","2.5626","6.57","0.0104"
"HOXA9|3205","0.1122","1.1187(1.0267-1.219)","2.5607","6.56","0.0104"
"CHAD|1101","-0.1243","0.8831(0.8029-0.9713)","-2.5599","6.55","0.0105"
"GPI|2821","0.3261","1.3855(1.079-1.7792)","2.5555","6.53","0.0106"
"WDR67|93594","0.2639","1.3021(1.0635-1.5941)","2.5562","6.53","0.0106"
"CDCA3|83461","0.1694","1.1847(1.0402-1.3492)","2.5533","6.52","0.0107"
"C17orf28|283987","-0.2478","0.7805(0.6454-0.944)","-2.5535","6.52","0.0107"
"SPAG5|10615","0.1886","1.2076(1.0446-1.3961)","2.549","6.5","0.0108"
"HOXA1|3198","0.1279","1.1365(1.03-1.2539)","2.55","6.5","0.0108"
"GGH|8836","0.1577","1.1708(1.0371-1.3217)","2.549","6.5","0.0108"
"SCN2A|6326","-0.149","0.8616(0.7683-0.9662)","-2.5487","6.5","0.0108"
"COL7A1|1294","0.0932","1.0976(1.0217-1.1792)","2.5467","6.49","0.0109"
"CHAF1B|8208","0.2551","1.2906(1.0603-1.5709)","2.5443","6.47","0.011"
"SHOX2|6474","0.114","1.1207(1.0264-1.2236)","2.5416","6.46","0.011"
"FURIN|5045","0.1779","1.1948(1.0416-1.3704)","2.5427","6.47","0.011"
"IL11|3589","0.134","1.1434(1.031-1.2679)","2.5394","6.45","0.0111"
"LST-3TM12|338821","0.1363","1.146(1.0313-1.2736)","2.5323","6.41","0.0113"
"FERMT1|55612","0.1921","1.2118(1.0442-1.4063)","2.5298","6.4","0.0114"
"CENPI|2491","0.1596","1.173(1.0366-1.3275)","2.5288","6.39","0.0114"
"AURKA|6790","0.1962","1.2168(1.0452-1.4164)","2.5306","6.4","0.0114"
"EIF3C|8663","0.1905","1.2099(1.0439-1.4023)","2.5299","6.4","0.0114"
"CLSPN|63967","0.1518","1.164(1.0347-1.3094)","2.5269","6.39","0.0115"
"TNFSF11|8600","0.119","1.1264(1.0271-1.2352)","2.5275","6.39","0.0115"
"DSCC1|79075","0.1922","1.2119(1.0438-1.407)","2.5226","6.36","0.0116"
"CDC6|990","0.1803","1.1975(1.0409-1.3777)","2.5208","6.35","0.0117"
"FAM64A|54478","0.1578","1.1709(1.0358-1.3237)","2.5214","6.36","0.0117"
"CALU|813","0.2948","1.3428(1.0678-1.6887)","2.5207","6.35","0.0117"
"KLHL35|283212","-0.1512","0.8597(0.7644-0.9669)","-2.5218","6.36","0.0117"
"ADAMTS12|81792","0.1271","1.1356(1.0286-1.2537)","2.5188","6.34","0.0118"
"PDXDC2|283970","-0.1605","0.8517(0.7516-0.9651)","-2.5177","6.34","0.0118"
"PRIM1|5557","0.2214","1.2479(1.0501-1.4828)","2.5154","6.33","0.0119"
"TRIP13|9319","0.1857","1.204(1.0416-1.3918)","2.511","6.31","0.012"
"TRIM2|23321","-0.1803","0.835(0.7254-0.9612)","-2.5115","6.31","0.012"
"LOC389791|389791","-0.1894","0.8274(0.7137-0.9593)","-2.5108","6.3","0.012"
"GJB4|127534","0.0978","1.1027(1.0217-1.1902)","2.5127","6.31","0.012"
"GYS2|2998","0.1828","1.2006(1.0411-1.3846)","2.5131","6.32","0.012"
"ATAD2|29028","0.223","1.2498(1.05-1.4875)","2.5092","6.3","0.0121"
"INSL4|3641","0.0664","1.0686(1.0146-1.1255)","2.5094","6.3","0.0121"
"GUCA2B|2981","0.1072","1.1132(1.0237-1.2104)","2.5091","6.3","0.0121"
"KIF2C|11004","0.1641","1.1783(1.0365-1.3396)","2.5074","6.29","0.0122"
"COL1A1|1277","0.1381","1.1481(1.0306-1.279)","2.5072","6.29","0.0122"
"C10orf35|219738","-0.3011","0.74(0.5848-0.9364)","-2.5074","6.29","0.0122"
"HES6|55502","-0.158","0.8539(0.7547-0.9661)","-2.5077","6.29","0.0122"
"ZIC5|85416","0.0971","1.102(1.0214-1.1889)","2.5068","6.28","0.0122"
"RAB27B|5874","0.1526","1.1648(1.0338-1.3125)","2.5049","6.27","0.0122"
"NLN|57486","0.3141","1.369(1.0705-1.7506)","2.5029","6.26","0.0123"
"C10orf99|387695","0.2022","1.2241(1.0449-1.434)","2.5044","6.27","0.0123"
"C1orf112|55732","0.3056","1.3575(1.0682-1.7252)","2.4993","6.25","0.0124"
"NCAPH|23397","0.1658","1.1804(1.0365-1.3442)","2.5012","6.26","0.0124"
"EPR1|8475","0.1572","1.1702(1.0346-1.3237)","2.5003","6.25","0.0124"
"TMEM45B|120224","-0.1466","0.8636(0.7698-0.9689)","-2.4994","6.25","0.0124"
"SLC14A2|8170","-0.0834","0.92(0.8618-0.9821)","-2.5013","6.26","0.0124"
"AHSG|197","0.1643","1.1785(1.0361-1.3406)","2.4996","6.25","0.0124"
"ESCO2|157570","0.1841","1.2021(1.0403-1.389)","2.4963","6.23","0.0125"
"COL11A1|1301","0.0719","1.0745(1.0156-1.1369)","2.4977","6.24","0.0125"
"NEIL3|55247","0.123","1.1309(1.0267-1.2458)","2.4935","6.22","0.0126"
"TNFRSF6B|8771","0.1293","1.138(1.028-1.2597)","2.4935","6.22","0.0126"
"RAD51|5888","0.1935","1.2135(1.0422-1.4128)","2.4929","6.21","0.0127"
"DSG4|147409","0.2011","1.2228(1.0438-1.4325)","2.4908","6.2","0.0127"
"PADI3|51702","0.0765","1.0795(1.0164-1.1465)","2.4905","6.2","0.0128"
"CDK5RAP3|80279","-0.2759","0.7589(0.6105-0.9433)","-2.4855","6.18","0.0129"
"GPR1|2825","0.1281","1.1367(1.0273-1.2578)","2.4812","6.16","0.0131"
"UCK2|7371","0.17","1.1854(1.0363-1.3559)","2.4796","6.15","0.0132"
"DNER|92737","0.0899","1.094(1.019-1.1746)","2.4785","6.14","0.0132"
"EIF3B|8662","0.4266","1.5321(1.0929-2.1477)","2.4754","6.13","0.0133"
"GPSM2|29899","0.2675","1.3066(1.0572-1.6149)","2.4747","6.12","0.0133"
"IGDCC4|57722","0.1814","1.1989(1.0386-1.384)","2.4764","6.13","0.0133"
"MDFI|4188","0.149","1.1607(1.0314-1.3063)","2.4723","6.11","0.0134"
"ANO3|63982","0.1063","1.1122(1.0223-1.2099)","2.4738","6.12","0.0134"
"SLC7A5|8140","0.1758","1.1922(1.0369-1.3707)","2.4697","6.1","0.0135"
"C8orf77|286103","-0.1836","0.8322(0.7194-0.9628)","-2.4705","6.1","0.0135"
"SPANXC|64663","0.1619","1.1757(1.034-1.3368)","2.4707","6.1","0.0135"
"HSPB9|94086","-0.1604","0.8518(0.7499-0.9676)","-2.4667","6.08","0.0136"
"DCBLD2|131566","0.1652","1.1796(1.0346-1.3449)","2.4677","6.09","0.0136"
"ZC3HAV1L|92092","0.2192","1.245(1.0459-1.4821)","2.4643","6.07","0.0137"
"INCENP|3619","0.2663","1.3051(1.0557-1.6135)","2.4612","6.06","0.0138"
"POLE2|5427","0.1728","1.1886(1.0358-1.364)","2.4601","6.05","0.0139"
"BUB1|699","0.1682","1.1832(1.0347-1.3531)","2.4588","6.05","0.0139"
"COL3A1|1281","0.1423","1.1529(1.0292-1.2914)","2.458","6.04","0.014"
"GRID2IP|392862","-0.1896","0.8273(0.7112-0.9623)","-2.4582","6.04","0.014"
"MCM10|55388","0.1461","1.1574(1.0297-1.3009)","2.4499","6","0.0143"
"CDT1|81620","0.205","1.2275(1.0418-1.4464)","2.4488","6","0.0143"
"MC1R|4157","0.219","1.2448(1.0447-1.4831)","2.4495","6","0.0143"
"L1CAM|3897","0.0878","1.0917(1.0177-1.1711)","2.4505","6","0.0143"
"ORC1L|4998","0.1773","1.194(1.0359-1.3763)","2.4467","5.99","0.0144"
"MMP16|4325","0.1564","1.1693(1.0317-1.3254)","2.4478","5.99","0.0144"
"GREM1|26585","0.1015","1.1068(1.0203-1.2007)","2.4434","5.97","0.0145"
"GLB1L2|89944","-0.1244","0.883(0.799-0.9758)","-2.4393","5.95","0.0147"
"NIPAL4|348938","0.121","1.1286(1.0241-1.2439)","2.4392","5.95","0.0147"
"SLC15A1|6564","0.0847","1.0883(1.0167-1.165)","2.4372","5.94","0.0148"
"IL17REL|400935","-0.1373","0.8717(0.7806-0.9734)","-2.4385","5.95","0.0148"
"SLC6A18|348932","-0.3624","0.696(0.5201-0.9314)","-2.4379","5.94","0.0148"
"NPBWR1|2831","0.1368","1.1466(1.0271-1.2801)","2.4351","5.93","0.0149"
"C11orf93|120376","-0.1279","0.88(0.7939-0.9753)","-2.4358","5.93","0.0149"
"PI3|5266","0.0862","1.09(1.0169-1.1684)","2.4329","5.92","0.015"
"NLRP2|55655","-0.0791","0.9239(0.8669-0.9847)","-2.4328","5.92","0.015"
"GFRA3|2676","-0.0759","0.9269(0.8718-0.9854)","-2.4306","5.91","0.0151"
"PRSS45|377047","-0.1462","0.864(0.7679-0.9721)","-2.4302","5.91","0.0151"
"LOC283174|283174","-0.1029","0.9022(0.8304-0.9803)","-2.4292","5.9","0.0151"
"SCML2|10389","0.1422","1.1528(1.0278-1.293)","2.4274","5.89","0.0152"
"KLK6|5653","0.0662","1.0684(1.0128-1.1271)","2.426","5.89","0.0153"
"CPXM1|56265","0.1594","1.1729(1.031-1.3343)","2.4238","5.87","0.0154"
"IAPP|3375","0.2211","1.2474(1.0431-1.4917)","2.4224","5.87","0.0154"
"FHL2|2274","0.1547","1.1673(1.0299-1.3231)","2.4211","5.86","0.0155"
"ADH1C|126","-0.077","0.9259(0.8699-0.9855)","-2.4208","5.86","0.0155"
"ZNF750|79755","-0.0965","0.908(0.8398-0.9818)","-2.421","5.86","0.0155"
"MELK|9833","0.152","1.1642(1.0291-1.3171)","2.4157","5.84","0.0157"
"CPS1|1373","0.0513","1.0526(1.0097-1.0973)","2.4156","5.84","0.0157"
"FLJ22536|401237","0.136","1.1457(1.0258-1.2795)","2.4127","5.82","0.0158"
"CDA|978","0.0936","1.0981(1.0177-1.185)","2.4108","5.81","0.0159"
"LOC100129066|100129066","-0.1771","0.8377(0.7251-0.9677)","-2.4058","5.79","0.0161"
"SEC61G|23480","0.2947","1.3427(1.056-1.7072)","2.4043","5.78","0.0162"
"PTPRH|5794","0.0947","1.0994(1.0176-1.1877)","2.4031","5.78","0.0163"
"PABPC1L|80336","-0.1297","0.8783(0.79-0.9765)","-2.3994","5.76","0.0164"
"C10orf90|118611","0.1352","1.1447(1.0251-1.2783)","2.4007","5.76","0.0164"
"MST1|4485","-0.1546","0.8568(0.7551-0.9722)","-2.398","5.75","0.0165"
"CCNE1|898","0.1505","1.1624(1.0278-1.3147)","2.3958","5.74","0.0166"
"TTK|7272","0.1436","1.1545(1.0264-1.2985)","2.3938","5.73","0.0167"
"PGC|5225","-0.0481","0.9531(0.9163-0.9913)","-2.3932","5.73","0.0167"
"PLK4|10733","0.2074","1.2304(1.0381-1.4585)","2.3906","5.72","0.0168"
"C6orf134|79969","-0.2682","0.7648(0.6133-0.9536)","-2.3816","5.67","0.0172"
"LOC100272217|100272217","-0.2056","0.8141(0.6871-0.9646)","-2.3757","5.64","0.0175"
"C21orf84|114038","0.1668","1.1816(1.0295-1.3562)","2.3728","5.63","0.0177"
"TFF3|7033","-0.0761","0.9267(0.8702-0.987)","-2.3682","5.61","0.0179"
"MCM8|84515","0.237","1.2675(1.0413-1.5427)","2.3636","5.59","0.0181"
"PADI1|29943","0.0787","1.0819(1.0136-1.1548)","2.3646","5.59","0.0181"
"TMEM63C|57156","-0.0827","0.9206(0.8595-0.986)","-2.3616","5.58","0.0182"
"S100P|6286","0.0696","1.0721(1.0119-1.1358)","2.3611","5.57","0.0182"
"MMP3|4314","0.1027","1.1082(1.0176-1.2068)","2.3606","5.57","0.0182"
"CENPA|1058","0.1392","1.1493(1.0239-1.2901)","2.3604","5.57","0.0183"
"TMEM62|80021","-0.3193","0.7267(0.5574-0.9474)","-2.3594","5.57","0.0183"
"RAB25|57111","-0.2415","0.7854(0.6427-0.9598)","-2.3605","5.57","0.0183"
"TOP2A|7153","0.1578","1.171(1.0269-1.3352)","2.3567","5.55","0.0184"
"BZW2|28969","0.3044","1.3559(1.0526-1.7466)","2.3565","5.55","0.0184"
"FAM3D|131177","-0.0923","0.9118(0.8445-0.9846)","-2.3553","5.55","0.0185"
"EPT1|85465","0.2904","1.337(1.0498-1.7027)","2.3538","5.54","0.0186"
"C12orf48|55010","0.1806","1.1979(1.0305-1.3926)","2.3511","5.53","0.0187"
"PCDHGA1|56114","0.1462","1.1575(1.0247-1.3074)","2.3524","5.53","0.0187"
"PCP4|5121","-0.0688","0.9335(0.8814-0.9887)","-2.3497","5.52","0.0188"
"SEMA7A|8482","0.1659","1.1804(1.0279-1.3555)","2.3501","5.52","0.0188"
"BAIAP2L2|80115","0.1044","1.1101(1.0174-1.2112)","2.3468","5.51","0.0189"
"CRYM|1428","-0.0723","0.9302(0.8757-0.9882)","-2.3451","5.5","0.019"
"S100A7A|338324","0.1577","1.1708(1.0261-1.3358)","2.3435","5.49","0.0191"
"ACTL6A|86","0.3305","1.3917(1.0553-1.8352)","2.3415","5.48","0.0192"
"FCGBP|8857","-0.0972","0.9073(0.8364-0.9843)","-2.3414","5.48","0.0192"
"SLCO1B3|28234","0.0626","1.0646(1.0102-1.1219)","2.3387","5.47","0.0194"
"TUBA1C|84790","0.3038","1.3551(1.0502-1.7485)","2.3363","5.46","0.0195"
"HOXA10|3206","0.0764","1.0794(1.0124-1.1508)","2.3356","5.45","0.0195"
"CES3|23491","-0.1048","0.9005(0.8247-0.9833)","-2.3361","5.46","0.0195"
"FNDC4|64838","0.1556","1.1684(1.0251-1.3317)","2.332","5.44","0.0197"
"HOXB9|3219","0.0599","1.0617(1.0096-1.1165)","2.3304","5.43","0.0198"
"LOC100216001|100216001","0.1179","1.1252(1.0189-1.2426)","2.3294","5.43","0.0198"
"BIRC5|332","0.1484","1.16(1.0238-1.3143)","2.3289","5.42","0.0199"
"DLX1|1745","0.1495","1.1613(1.024-1.317)","2.3289","5.42","0.0199"
"ENO3|2027","-0.1065","0.899(0.8219-0.9834)","-2.3261","5.41","0.02"
"LOC29034|29034","0.1681","1.1831(1.0268-1.3631)","2.3258","5.41","0.02"
"FAM54A|113115","0.165","1.1794(1.0263-1.3554)","2.3254","5.41","0.0201"
"FANCD2|2177","0.2616","1.299(1.0418-1.6197)","2.3235","5.4","0.0202"
"SATB2|23314","0.1915","1.211(1.0303-1.4235)","2.3217","5.39","0.0202"
"FANCI|55215","0.2239","1.2509(1.0353-1.5115)","2.3188","5.38","0.0204"
"CALML5|51806","0.0746","1.0774(1.0116-1.1475)","2.3186","5.38","0.0204"
"DPY19L1|23333","0.2079","1.2311(1.0323-1.4683)","2.3137","5.35","0.0207"
"SRPK1|6732","0.3817","1.4648(1.0597-2.0247)","2.3111","5.34","0.0208"
"SYNGR4|23546","0.1343","1.1437(1.0206-1.2817)","2.3114","5.34","0.0208"
"SPP1|6696","0.096","1.1008(1.0147-1.1943)","2.3099","5.34","0.0209"
"PDIA2|64714","-0.0939","0.9103(0.8406-0.9859)","-2.3105","5.34","0.0209"
"ODZ1|10178","-0.0867","0.9169(0.8519-0.9869)","-2.3103","5.34","0.0209"
"BRIP1|83990","0.1599","1.1734(1.0242-1.3443)","2.3048","5.31","0.0212"
"NUP62CL|54830","0.1906","1.21(1.0287-1.4232)","2.302","5.3","0.0213"
"KIAA0125|9834","-0.1089","0.8968(0.8173-0.984)","-2.2998","5.29","0.0215"
"CDC20|991","0.15","1.1618(1.0223-1.3205)","2.2972","5.28","0.0216"
"HMGA2|8091","0.0606","1.0624(1.0089-1.1188)","2.2962","5.27","0.0217"
"NETO2|81831","0.1876","1.2064(1.0279-1.4158)","2.2964","5.27","0.0217"
"CKAP2|26586","0.2611","1.2984(1.0387-1.6229)","2.2934","5.26","0.0218"
"LOC441177|441177","0.1236","1.1315(1.0182-1.2575)","2.2943","5.26","0.0218"
"GSG2|83903","0.1835","1.2014(1.027-1.4054)","2.2924","5.25","0.0219"
"CENPO|79172","0.2622","1.2998(1.0385-1.6269)","2.2899","5.24","0.022"
"C1orf95|375057","-0.0818","0.9215(0.8592-0.9883)","-2.2885","5.24","0.0221"
"KIAA1524|57650","0.1593","1.1727(1.0229-1.3444)","2.2849","5.22","0.0223"
"MPP6|51678","0.1917","1.2114(1.0276-1.428)","2.2844","5.22","0.0223"
"WFDC3|140686","-0.0932","0.911(0.8408-0.987)","-2.2799","5.2","0.0226"
"LOC256880|256880","-0.215","0.8066(0.6704-0.9703)","-2.2794","5.2","0.0226"
"DNA2|1763","0.1834","1.2012(1.0259-1.4066)","2.2771","5.18","0.0228"
"C15orf23|90417","0.2207","1.2469(1.0311-1.5079)","2.2758","5.18","0.0229"
"C6orf218|221718","0.1628","1.1768(1.0228-1.354)","2.2749","5.17","0.0229"
"DONSON|29980","0.2552","1.2907(1.0357-1.6085)","2.272","5.16","0.0231"
"FGB|2244","0.0416","1.0425(1.0057-1.0806)","2.2723","5.16","0.0231"
"NUP210L|91181","-0.0994","0.9054(0.831-0.9865)","-2.2718","5.16","0.0231"
"UHRF1|29128","0.1763","1.1927(1.0244-1.3887)","2.2706","5.16","0.0232"
"SERPINH1|871","0.285","1.3297(1.0396-1.7009)","2.269","5.15","0.0233"
"C10orf2|56652","0.3232","1.3815(1.0446-1.827)","2.2663","5.14","0.0234"
"CRLF1|9244","-0.0658","0.9363(0.8844-0.9913)","-2.2605","5.11","0.0238"
"GIP|2695","0.1765","1.1931(1.0238-1.3903)","2.2608","5.11","0.0238"
"LRIG3|121227","-0.1641","0.8487(0.7359-0.9787)","-2.2565","5.09","0.024"
"H2AFX|3014","0.2536","1.2887(1.0336-1.6068)","2.2533","5.08","0.0242"
"MFSD4|148808","-0.0931","0.9111(0.8402-0.9881)","-2.2503","5.06","0.0244"
"SSR4|6748","-0.242","0.7851(0.6359-0.9693)","-2.2494","5.06","0.0245"
"B4GALT4|8702","0.2716","1.312(1.0355-1.6625)","2.2484","5.06","0.0245"
"WASF1|8936","0.1858","1.2042(1.024-1.4161)","2.2467","5.05","0.0247"
"PPIF|10105","0.3421","1.4079(1.0443-1.8982)","2.2442","5.04","0.0248"
"CLCA3P|9629","0.2016","1.2234(1.0258-1.459)","2.2438","5.03","0.0248"
"ESPL1|9700","0.1286","1.1373(1.0163-1.2727)","2.241","5.02","0.025"
"ANP32E|81611","0.2266","1.2543(1.0289-1.529)","2.2422","5.03","0.025"
"FAM25A|643161","0.1987","1.2198(1.0253-1.4512)","2.2416","5.02","0.025"
"C17orf53|78995","0.1655","1.1799(1.0208-1.3639)","2.2382","5.01","0.0252"
"PTTG1|9232","0.1827","1.2004(1.0229-1.4087)","2.2377","5.01","0.0252"
"C1orf135|79000","0.1535","1.1659(1.019-1.3339)","2.2339","4.99","0.0255"
"CENPN|55839","0.2376","1.2682(1.0293-1.5625)","2.2314","4.98","0.0257"
"HELLS|3070","0.173","1.1889(1.0211-1.3843)","2.2293","4.97","0.0258"
"THBS2|7058","0.1257","1.1339(1.0151-1.2666)","2.2262","4.96","0.026"
"ENTPD8|377841","-0.1012","0.9038(0.8267-0.988)","-2.2252","4.95","0.0261"
"PTGFRN|5738","0.2684","1.3079(1.0322-1.6572)","2.2221","4.94","0.0263"
"HMX1|3166","0.204","1.2263(1.0244-1.468)","2.2224","4.94","0.0263"
"C1QL2|165257","-0.0799","0.9232(0.8603-0.9907)","-2.2204","4.93","0.0264"
"SMPDL3B|27293","-0.169","0.8445(0.7274-0.9805)","-2.2187","4.92","0.0265"
"ASCL2|430","-0.1356","0.8732(0.7746-0.9843)","-2.2195","4.93","0.0265"
"ALG3|10195","0.3094","1.3626(1.0362-1.7917)","2.2148","4.91","0.0268"
"BCAN|63827","0.1056","1.1114(1.0122-1.2202)","2.2146","4.9","0.0268"
"HORMAD2|150280","-0.1819","0.8337(0.7097-0.9793)","-2.2141","4.9","0.0268"
"CLDN3|1365","-0.1211","0.8859(0.7955-0.9865)","-2.2067","4.87","0.0273"
"FEN1|2237","0.2687","1.3083(1.0305-1.661)","2.2064","4.87","0.0274"
"SASS6|163786","0.2271","1.255(1.0256-1.5356)","2.2059","4.87","0.0274"
"BRCA2|675","0.199","1.2201(1.0223-1.4563)","2.2039","4.86","0.0275"
"STAR|6770","-0.2086","0.8117(0.6744-0.9771)","-2.2048","4.86","0.0275"
"RAD54B|25788","0.1984","1.2194(1.0221-1.4549)","2.2025","4.85","0.0276"
"ZWINT|11130","0.1876","1.2064(1.0207-1.4258)","2.2008","4.84","0.0277"
"SPRR2A|6700","0.0943","1.0989(1.0103-1.1953)","2.1996","4.84","0.0278"
"CTHRC1|115908","0.137","1.1468(1.0149-1.2958)","2.1978","4.83","0.028"
"?|729884","0.0686","1.071(1.0074-1.1386)","2.197","4.83","0.028"
"MUC20|200958","-0.1166","0.89(0.802-0.9876)","-2.1957","4.82","0.0281"
"TIGD3|220359","-0.2149","0.8066(0.6656-0.9775)","-2.1926","4.81","0.0283"
"NEUROD1|4760","-0.1227","0.8845(0.7926-0.9871)","-2.1916","4.8","0.0284"
"GAL|51083","0.0692","1.0717(1.0073-1.1402)","2.1891","4.79","0.0286"
"PLA2G10|8399","-0.0809","0.9223(0.8579-0.9916)","-2.1891","4.79","0.0286"
"MYH16|84176","0.1124","1.119(1.0118-1.2375)","2.1881","4.79","0.0287"
"C1orf213|148898","-0.19","0.827(0.6973-0.9807)","-2.1835","4.77","0.029"
"SLCO6A1|133482","-0.1697","0.8439(0.7247-0.9828)","-2.1832","4.77","0.029"
"CHML|1122","0.1708","1.1863(1.0173-1.3834)","2.178","4.74","0.0294"
"PSCA|8000","0.0617","1.0637(1.0062-1.1245)","2.1764","4.74","0.0295"
"EPS8L3|79574","0.0579","1.0596(1.0058-1.1163)","2.1754","4.73","0.0296"
